# 文字复核回归集 v1
#
# 用途：不接模型时校验闸门（参考改法必须过闸门），接模型时算召回率与误报率。
# 「不该报」那一半才是真正的门槛——一个天天误报的检查器，用户不会去忽略它，
# 会直接把整个功能关掉。所以负样本刻意挑了公文里正确但形似病句的写法：
# 惯用语、省略主语的祈使句、长并列主语、被动句、含数字与书名号的句子。
#
# 期望：该报 / 不该报。「该报」必须给出参考改法，离线测试要用它验证闸门不会
# 把正确的修改也拦下——闸门太严和检查器太笨一样糟，只是不容易被发现。
#
# 本文件不含任何真实公文内容，全部为按公文语体手写的样例，可随仓库分发。
# 各单位可自行追加本单位行文习惯的样例，格式相同，列之间用制表符分隔。
#
# 以 # 开头的行与空行由解析器跳过。
编号	类型	期望	原句	参考改法	说明
GC-001	成分残缺	该报	通过这次专项整治，使全区安全生产形势明显好转。	这次专项整治使全区安全生产形势明显好转。	「通过…使…」是公文里最常见的缺主语句式
GC-002	成分残缺	该报	经过全体同志的共同努力，使各项工作任务圆满完成。	经过全体同志的共同努力，各项工作任务圆满完成。	同上，删去「使」即可
GC-003	成分残缺	该报	由于时间安排紧张，导致部分环节的准备工作不够充分。	时间安排紧张，部分环节的准备工作不够充分。	「由于…导致…」双重标记，主语被吞
GC-004	成分残缺	该报	在各成员单位的密切配合下，为顺利完成任务创造了有利条件。	各成员单位密切配合，为顺利完成任务创造了有利条件。	介词结构独占句首，全句无主语
GC-005	成分残缺	该报	对于反映强烈的问题，有关部门要认真研究并抓紧予以解决。	对于反映强烈的问题，有关部门要认真研究，抓紧予以解决。	并列谓语共用「并」时缺少必要停顿
GC-006	搭配不当	该报	我们要进一步加强对干部队伍的教育和业务水平。	我们要进一步加强对干部队伍的教育，提高其业务水平。	「加强…水平」动宾搭配不当
GC-007	搭配不当	该报	这次会议的召开，对推动全区经济社会发展具有重要的里程碑。	这次会议的召开，对推动全区经济社会发展具有重要意义。	「具有…里程碑」搭配不当
GC-008	搭配不当	该报	各单位要切实履行好安全生产的第一责任人。	各单位主要负责人要切实履行好安全生产第一责任人职责。	「履行…责任人」缺中心语
GC-009	搭配不当	该报	下一步要着力提升整改工作的力度和进度。	下一步要着力加大整改工作力度，加快整改进度。	一个动词管不住两个不同搭配的宾语
GC-010	搭配不当	该报	会议强调，要严格落实各项规章制度的执行。	会议强调，要严格执行各项规章制度。	「落实…执行」语义重复且搭配不当
GC-011	句式杂糅	该报	本次检查的目的主要是为了发现问题、督促整改为目的。	本次检查的目的是发现问题、督促整改。	「目的是…」与「以…为目的」两种句式杂糅
GC-012	句式杂糅	该报	之所以出现上述问题，是因为责任落实不到位造成的。	之所以出现上述问题，是因为责任落实不到位。	「是因为…」与「是…造成的」杂糅
GC-013	句式杂糅	该报	这项工作能否顺利推进，关键在于各单位是否真抓实干才能完成。	这项工作能否顺利推进，关键在于各单位是否真抓实干。	前后两种句式各说一半
GC-014	句式杂糅	该报	该项目自去年启动以来，截至目前已完成主体工程建设完毕。	该项目自去年启动以来，已完成主体工程建设。	「已完成…」与「…完毕」杂糅
GC-015	成分赘余	该报	这项工作大约需要一个月左右的时间才能全部完成。	这项工作需要一个月左右才能全部完成。	「大约」与「左右」重复
GC-016	成分赘余	该报	首先第一，要把思想认识统一到会议精神上来。	首先，要把思想认识统一到会议精神上来。	「首先」与「第一」重复
GC-017	成分赘余	该报	请各单位务必要按照通知要求认真组织实施。	请各单位务必按照通知要求认真组织实施。	「务必」已含「要」义
GC-018	成分赘余	该报	这个问题的产生原因主要是由于监管缺位引起的。	这个问题主要是监管缺位引起的。	「原因」「由于」「引起」三重叠加
GC-019	成分赘余	该报	会议听取了关于上半年工作情况的有关汇报情况。	会议听取了上半年工作情况汇报。	「关于」「有关」「情况」多重赘余
GC-020	语序不当	该报	有关部门要认真研究并广泛听取各方面意见，提出可行方案。	有关部门要广泛听取各方面意见并认真研究，提出可行方案。	先听取后研究才合逻辑
GC-021	语序不当	该报	我们不但要完成今年任务，全区上下而且要谋划明年工作。	我们不但要完成今年任务，而且要谋划明年工作。	关联词与主语位置颠倒
GC-022	语序不当	该报	对存在的问题要及时发现、认真整改、深入排查。	对存在的问题要深入排查、及时发现、认真整改。	三个动作的先后顺序颠倒
GC-023	成分残缺	该报	随着各项改革措施的深入推进，使基层负担得到有效减轻。	随着各项改革措施深入推进，基层负担得到有效减轻。	「随着…使…」同类缺主语
GC-024	搭配不当	该报	要把学习贯彻会议精神作为当前的一项重要任务来抓紧抓好。	要把学习贯彻会议精神作为当前一项重要任务抓紧抓好。	「来抓紧抓好」多余且搭配生硬
GC-101	正常	不该报	现将有关事项通知如下，请遵照执行。		公文惯用语，不得改动
GC-102	正常	不该报	特此函告，请贵单位予以大力支持并及时反馈意见。		惯用语加常规请求，句式完整
GC-103	正常	不该报	上述问题已由相关部门依法依规作出处理。		规范的被动句，不是病句
GC-104	正常	不该报	各成员单位要按照职责分工，密切配合，形成工作合力。		典型公文排比式短句串，结构完整
GC-105	正常	不该报	请于本月底前将落实情况书面报送我办综合科。		祈使句省略主语属公文常规，不算缺主语
GC-106	正常	不该报	会议审议通过了《关于加强财务管理工作的实施意见》。		含书名号的规范表述
GC-107	正常	不该报	全区共有三百二十名干部参加了本次专题培训。		含数字的陈述句，结构完整
GC-108	正常	不该报	本通知自印发之日起施行，有效期五年。		规范的施行条款
GC-109	正常	不该报	经研究，同意你单位关于调整项目实施方案的请示。		「经研究」开头是公文常规，不算缺主语
GC-110	正常	不该报	为进一步规范审批流程，提高办事效率，现提出如下意见。		目的状语加主句，结构完整
GC-111	正常	不该报	截至去年年底，全部整改任务已按期完成并通过验收。		「截至」用法正确，不应误报为「截止」
GC-112	正常	不该报	各县区人民政府、市直各部门要高度重视此项工作。		长主语并列，不是语序问题
GC-113	正常	不该报	该项目总投资一点二亿元，计划于明年六月建成投用。		含金额与日期的复句
GC-114	正常	不该报	请各单位于收到本通知后五个工作日内确定联络员并报我办。		时限加动作，结构完整
GC-115	正常	不该报	会议指出，做好下一步工作关键在于压实各级责任。		「关键在于」单用正确，未与其他句式杂糅
GC-116	正常	不该报	以上意见如无不妥，请批转各有关单位遵照执行。		呈批件惯用语，整句不得改动
GC-025	成分残缺	该报	通过市财政局的大力支持，使项目建设进度明显加快。	市财政局的大力支持使项目建设进度明显加快。	含单位名的缺主语句，用来盯住事实闸门不误伤
GC-026	搭配不当	该报	请区教育局进一步加强对校园安全的管理和水平。	请区教育局进一步加强对校园安全的管理，提高管理水平。	含单位名的搭配不当
GC-027	成分赘余	该报	市住建局大约需要一个月左右完成全部验收工作。	市住建局需要一个月左右完成全部验收工作。	含单位名的赘余
GC-117	正常	不该报	请市发展改革委会同市财政局研究提出具体方案。		含两个单位名的正常句
GC-118	正常	不该报	本通知由区应急管理局负责解释，自印发之日起施行。		含单位名的规范条款
